ID,Prompt1,Prompt2,Prompt3,Prompt4,Prompt5
6,4.2,3.75,4.5,4.75,4.64
2,4.3333,4.67,4.83,4.6,4.17
24,3.75,4.56,4.63,4.57,4.57
23,4,4.4,4.25,4.4,4.24
14,3.33,4.2,4,4.4,4.4
36,4,3.6,4.67,4.4,4.31
21,4,4.14,4.17,4.4,4.3
4,3.8,4.38,4.67,4.4,4.25
39,4.2,3.43,4,4.29,3.64
5,4,4.45,4.83,4.2,5
42,3.8,3.4,3.57,4.2,4.2
13,4.2,4.13,4,4.17,4.7
10,4.2,4,4.4,4,4.83
25,3.8,3.8,4.14,4,3.1
9,4,4.14,4.4,4,4.45
29,3.83,3.6,3.25,4,3.75
37,3.5,3.71,3.8,3.8,3.88
27,3.73,3.6,3.8,3.75,4.5
26,3.2,3.2,4.29,3.75,4.47
11,3,4,3.2,3.25,4.17
22,4.33,4.5,2.75,3.6,4.33
19,3.9,4,4,3.6,4.44
16,4.1,3.71,3.75,3.5,4.13
8,3,3.56,4.4,3.5,3.6
28,3.25,3.4286,3.6,3.5,4.28
7,3.1667,3.33,3,3.4,3.33
33,3.2,2.6,2.75,3.33,3.2
31,3.25,3.8,3.5,3.25,3.92
17,2.67,3.67,4,3,3
15,3.2,1.25,4.2,2.5,4
