ID,Prompt1,Prompt2,Prompt3,Prompt4,Prompt5
6,4.4,4.1667,4.3333,4.5714,4.6
39,3,3.6667,4,4.5,4.5
37,4.5,4.2857,4.5,4.2,4.5
27,3.6,4.1667,4.2,4.3333,4.4
45,4.5714,4.6,4.6,4.1429,4.4
3,4.3333,3.8,4.5,4.1667,4.4
42,4.5,4.1429,4.4286,3.8333,4.4
11,4.3333,4.6,4.4,4.4,4.25
9,3.75,3.8,4,4.75,4.25
25,4.3333,4.2,4.6667,4,4.2
48,3.7143,4.5,3.8,4.5,4.2
7,3.6667,3.6,3.5714,4,4
17,3.6667,3.6,3.1667,3,4
47,4.2,4,3.6667,3.6667,4
16,3.6667,4.2,4.2,4.5,4
14,3.8333,4.2,4.2,4.3333,4
10,4,4.3333,4.8,4.6,4
23,3.2,3.8,2.7143,3.6667,3.8333
35,4,4,4,4.6667,3.75
22,3.4545,3.8333,4,3.5,3.75
41,3.6667,4,4,3.6667,3.75
31,4.2,4,3.6,3.8,3.5
29,3.2,2.5,3.8,4,3.3333
44,3.125,3.8,3.2857,3.5,3.25
5,3.375,3,3.8,3.6667,3
32,4.6,4.5714,3.6364,3.5,3.5
