ID,Prompt1,Prompt2,Prompt3,Prompt4,Prompt5
7,3.8333,4.1667,4.75,3.6,5
37,3.875,4,4.8333,4.8,5
33,4.5556,4.1667,4.6,4.6667,5
11,4.3,4.2,4.6667,4.6,5
1,4.1333,4.375,4.8,4,5
25,4.2222,4.1667,4.4286,4.75,4.8333
6,4,4.25,4.6,4.1667,4.75
13,4.1667,3.6,4.75,4.8,4.75
26,4.0833,3.8571,4.4286,4.25,4.6667
4,3.4,4.1111,4.4,4.4,4.6667
15,4.375,4.375,4.6,4.75,4.6
17,4.142857143,4.5,4.1667,4.6,4.5
2,3.5,3.2857,4.1667,3.6667,4.5
27,3.875,4,3.8,4.3333,4.4
19,3.125,4,3.7143,4.4,4.4
18,3.7,4.4444,3.8,4,4.4
10,4,4,3.75,4.5,4.3333
35,4.1429,3.875,4.1667,4.6,4.2
31,3.75,3.6667,4.1667,4.6,4.125
28,3,3.875,4,3.75,3.7778
32,3.888888889,3.75,3.6667,4,3.6667
30,4,3.8,4,4.25,4.333333333
8,4.4444,3.8571,4,4,4
