ID,Prompt1,Prompt2,Prompt3,Prompt4,Prompt5
22,4.3,4.2857,4.25,4.2857,4.8333
53,3.8571,3.875,4.1429,3.8333,4.6
43,3.6154,3.9,4.1429,4.4286,4.5
48,3.6667,4.1667,3.625,4,4.5
4,4,3.7,4.3333,3.6,4.4
29,4.1667,4.375,3.8333,4.25,4.2857
19,3.6364,3.2778,3.1,3.5714,4.2
45,4.3846,4.625,4.2857,3.8889,4.2
38,3.75,3.75,4.3333,4.3333,4.1667
36,4,4.375,4.4,4.5,4.1667
64,3.5,3.6364,3.625,3.6667,4.1667
54,3.7692,3.9091,3.8333,4.3333,4
32,3.125,3.5,3.8333,2.1667,4
44,3.3846,3.7143,3.5,4,4
21,2.9167,3.375,3,3.875,3.875
34,2.5,2.5,3.2222,2.7778,3.8333
62,3.7143,3.4,3.125,3,3.7143
42,4,4.2857,4.3333,4,3.6667
31,3,3.4286,3.5,3.4286,3.6667
10,3.0909,3.7143,3.4,3.8,3.6667
52,3.4,3.7143,3.5714,3.75,3.6
13,3.6667,3.8333,3.6667,4,3.5
8,4,3.875,3.7143,3.4286,3.5
20,3.7,3.375,3.8333,3.4444,3.4
49,2.6,2.8333,3.3333,2.8333,3.4
60,3.2,2.8,3.4,3.6667,3.3333
3,1.6667,2.8333,2.2,3,3.25
63,3.1667,3.125,3.7143,3.8333,3.2
23,3.3333,3.8571,3.1429,3.8,3.2
7,2.2222,2.5,3.6667,1.6,3.2
61,2.5,3,3.5,2.6,3.1429
